Issue Type,Summary,Description,Priority
Epic,Security & Reliability Baseline,"P0/P1 hardening for webhook security, env validation, and abuse protection.",Highest
Epic,Core API Performance & Cache Strategy,"Reduce cache invalidation overhead and establish measurable API performance baselines.",High
Epic,Testing of Business-Critical Flows,"Integration test coverage for lead/deal/file-access critical business flows.",High
Epic,Code Quality & Maintainability,"Gradual strict typing, API error standardization, and legacy app drift resolution.",Medium
Epic,Observability & Operability,"Structured logs, tracing correlation, SLO dashboards and incident readiness.",Medium
Story,Fail-closed webhook signature verification,"EPIC: Security & Reliability Baseline. In production, reject requests when webhook secret is missing or signature is invalid. Add safe diagnostics without leaking secrets.",Highest
Sub-task,Update verifyMetaSignature fail-closed logic,"PARENT: Fail-closed webhook signature verification. Change production behavior: missing secret => reject and log critical event.",Highest
Sub-task,Add webhook signature tests,"PARENT: Fail-closed webhook signature verification. Cover valid signature, invalid signature, and missing-secret scenarios.",Highest
Sub-task,Add operational logging for signature rejects,"PARENT: Fail-closed webhook signature verification. Emit structured fields for reason code and endpoint without secret exposure.",High
Story,Startup environment validation,"EPIC: Security & Reliability Baseline. Implement centralized env validation with separate required sets for dev/prod and clear startup errors.",Highest
Sub-task,Create centralized env schema,"PARENT: Startup environment validation. Define typed schema for required runtime variables and parse at startup.",High
Sub-task,Split dev and prod requirements,"PARENT: Startup environment validation. Maintain explicit policy for mandatory vars by environment.",High
Sub-task,Improve startup error messages,"PARENT: Startup environment validation. Provide actionable errors with missing keys list and remediation hints.",Medium
Story,Rate limiting for public and integration endpoints,"EPIC: Security & Reliability Baseline. Add IP/token/path-aware rate limits for webhook and public token routes, with 429 handling and telemetry.",High
Sub-task,Choose and implement limiter strategy,"PARENT: Rate limiting for public and integration endpoints. Define bucket keys and burst/sustained limits per endpoint class.",High
Sub-task,Apply limiter to webhook endpoints,"PARENT: Rate limiting for public and integration endpoints. Protect integrations from abuse and accidental floods.",High
Sub-task,Apply limiter to public token routes,"PARENT: Rate limiting for public and integration endpoints. Prevent brute-force attempts against public attachment/token paths.",High
Story,Centralize cache invalidation for mutations,"EPIC: Core API Performance & Cache Strategy. Replace long manual revalidatePath lists with domain-level helper/tag strategy.",High
Sub-task,Create domain invalidation helper,"PARENT: Centralize cache invalidation for mutations. Implement helper methods per domain (lead/deal/calendar).",High
Sub-task,Refactor core lead/deal mutation endpoints,"PARENT: Centralize cache invalidation for mutations. Adopt helper and remove duplicated invalidation code.",High
Sub-task,Add smoke checks for stale UI regressions,"PARENT: Centralize cache invalidation for mutations. Verify key pages refresh correctly after mutations.",Medium
Story,Establish API performance baseline metrics,"EPIC: Core API Performance & Cache Strategy. Track p50/p95 latency and error rate for core endpoints with before/after comparison.",High
Sub-task,Add latency/status instrumentation,"PARENT: Establish API performance baseline metrics. Capture endpoint duration and status with route metadata.",High
Sub-task,Publish baseline report,"PARENT: Establish API performance baseline metrics. Document baseline values and target improvements for top endpoints.",Medium
Sub-task,Create recurring trend review,"PARENT: Establish API performance baseline metrics. Schedule weekly review of latency/error trends and actions.",Medium
Story,Integration tests for lead creation flow,"EPIC: Testing of Business-Critical Flows. Cover valid/invalid payloads, owner assignment permissions, and post-create invariants.",High
