Project Key,Issue Type,Summary,Description,Priority,Labels,Component/s,Sprint,Fix Version,Story Points,Epic Name,Roadmap Group,Parent Summary
CRM,Epic,Security & Reliability Baseline,"P0/P1 hardening for webhook security, env validation, and abuse protection.",Highest,"crm,roadmap,security",Backend,"Sprint 1",v1.1,,Security & Reliability Baseline,Security & Reliability Baseline,
CRM,Epic,Core API Performance & Cache Strategy,"Reduce cache invalidation overhead and establish measurable API performance baselines.",High,"crm,roadmap,performance",Backend,"Sprint 2",v1.2,,Core API Performance & Cache Strategy,Core API Performance & Cache Strategy,
CRM,Epic,Testing of Business-Critical Flows,"Integration test coverage for lead/deal/file-access critical business flows.",High,"crm,roadmap,testing","Backend,QA","Sprint 2",v1.2,,Testing of Business-Critical Flows,Testing of Business-Critical Flows,
CRM,Epic,Code Quality & Maintainability,"Gradual strict typing, API error standardization, and legacy app drift resolution.",Medium,"crm,roadmap,quality","Backend,Frontend","Sprint 4",v1.3,,Code Quality & Maintainability,Code Quality & Maintainability,
CRM,Epic,Observability & Operability,"Structured logs, tracing correlation, SLO dashboards and incident readiness.",Medium,"crm,roadmap,observability","Backend,DevOps","Sprint 4",v1.3,,Observability & Operability,Observability & Operability,
CRM,Story,Fail-closed webhook signature verification,"In production, reject requests when webhook secret is missing or signature is invalid. Add safe diagnostics without leaking secrets.",Highest,"crm,security,webhook",Backend,"Sprint 1",v1.1,5,,Security & Reliability Baseline,
CRM,Sub-task,Update verifyMetaSignature fail-closed logic,"Change production behavior: missing secret => reject and log critical event.",Highest,"crm,security,webhook",Backend,"Sprint 1",v1.1,2,,Security & Reliability Baseline,Fail-closed webhook signature verification
CRM,Sub-task,Add webhook signature tests,"Cover valid signature, invalid signature, and missing-secret scenarios.",Highest,"crm,testing,webhook","Backend,QA","Sprint 1",v1.1,2,,Security & Reliability Baseline,Fail-closed webhook signature verification
CRM,Sub-task,Add operational logging for signature rejects,"Emit structured fields for reason code and endpoint without secret exposure.",High,"crm,observability,security","Backend,DevOps","Sprint 1",v1.1,1,,Security & Reliability Baseline,Fail-closed webhook signature verification
CRM,Story,Startup environment validation,"Implement centralized env validation with separate required sets for dev/prod and clear startup errors.",Highest,"crm,security,platform",Backend,"Sprint 1",v1.1,3,,Security & Reliability Baseline,
CRM,Sub-task,Create centralized env schema,"Define typed schema for required runtime variables and parse at startup.",High,"crm,platform,config",Backend,"Sprint 1",v1.1,1,,Security & Reliability Baseline,Startup environment validation
CRM,Sub-task,Split dev and prod requirements,"Maintain explicit policy for mandatory vars by environment.",High,"crm,platform,config",Backend,"Sprint 1",v1.1,1,,Security & Reliability Baseline,Startup environment validation
CRM,Sub-task,Improve startup error messages,"Provide actionable errors with missing keys list and remediation hints.",Medium,"crm,platform,dx",Backend,"Sprint 1",v1.1,1,,Security & Reliability Baseline,Startup environment validation
CRM,Story,Rate limiting for public and integration endpoints,"Add IP/token/path-aware rate limits for webhook and public token routes, with 429 handling and telemetry.",High,"crm,security,performance","Backend,DevOps","Sprint 1",v1.1,5,,Security & Reliability Baseline,
CRM,Sub-task,Choose and implement limiter strategy,"Define bucket keys and burst/sustained limits per endpoint class.",High,"crm,security,rate-limit",Backend,"Sprint 1",v1.1,2,,Security & Reliability Baseline,Rate limiting for public and integration endpoints
CRM,Sub-task,Apply limiter to webhook endpoints,"Protect integrations from abuse and accidental floods.",High,"crm,security,webhook",Backend,"Sprint 1",v1.1,2,,Security & Reliability Baseline,Rate limiting for public and integration endpoints
CRM,Sub-task,Apply limiter to public token routes,"Prevent brute-force attempts against public attachment/token paths.",High,"crm,security,public-api",Backend,"Sprint 1",v1.1,1,,Security & Reliability Baseline,Rate limiting for public and integration endpoints
CRM,Story,Centralize cache invalidation for mutations,"Replace long manual revalidatePath lists with domain-level helper/tag strategy.",High,"crm,performance,cache",Backend,"Sprint 2",v1.2,5,,Core API Performance & Cache Strategy,
CRM,Sub-task,Create domain invalidation helper,"Implement helper methods per domain (lead/deal/calendar).",High,"crm,performance,cache",Backend,"Sprint 2",v1.2,2,,Core API Performance & Cache Strategy,Centralize cache invalidation for mutations
CRM,Sub-task,Refactor core lead/deal mutation endpoints,"Adopt helper and remove duplicated invalidation code.",High,"crm,performance,cache",Backend,"Sprint 2",v1.2,2,,Core API Performance & Cache Strategy,Centralize cache invalidation for mutations
